,F1,H1,H10O4,H10O5,H10O6,H10O7,H11O5,H11O6,H11O7,H12O5,H12O6,H12O7,H13O6,H13O7,H13O8,H14O6,H14O7,H15O7,H15O8,H16O7,H16O8,H16O9,H17O11,H17O8,H18O9,H19O9,H1F1,H1N1,H1O1,H1O2,H2,H21O10,H2F1,H2N1,H2O1,H2O2,H3N1,H3O1,H3O1F1,H3O2,H3O3,H4N1,H4O1,H4O2,H4O3,H4O4,H5O1N1,H5O2,H5O3,H5O4,H6O1N1,H6O3,H6O4,H6O5,H7O2N1,H7O3,H7O4,H7O5,H7O6,H8O4,H8O5,H8O6,H9O4,H9O5,H9O6,N1,O1,X1,grp_>C128,grp_C1-3,grp_C16-31,grp_C32-63,grp_C4-7,grp_C64-127,grp_C8-15
30,0,127,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,46,0,0,0,805,1,0,9,0,9,0,0,0,14,2,0,0,3,2,1,0,7,0,0,0,16,0,0,0,3,0,0,32,0,1,0,69,2070,5,16,13,13,9,7,12
30,1,129,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,50,0,46,0,0,0,805,4,0,7,0,10,0,0,0,11,1,0,0,5,1,0,0,6,1,0,0,15,0,0,0,6,0,0,33,0,0,0,66,2070,6,20,12,12,12,7,12
30,0,119,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,48,0,0,0,814,3,0,10,0,7,0,0,0,11,1,0,0,8,4,0,0,5,0,0,0,13,1,1,0,5,0,0,33,0,0,0,67,2070,7,19,16,16,14,5,11
30,0,119,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,46,0,0,0,815,5,0,6,0,6,0,0,0,12,1,0,0,8,1,0,0,3,1,0,0,14,1,1,0,3,0,0,33,1,0,0,67,2070,5,16,15,18,11,6,13
30,0,108,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,50,0,48,0,0,0,818,5,0,7,0,9,0,0,0,10,0,0,0,4,0,0,0,3,0,0,0,15,2,0,0,1,0,0,37,0,0,0,67,2070,5,14,15,19,7,8,10
30,0,127,0,1,0,0,5,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,46,0,0,0,812,7,0,7,0,11,0,0,0,16,0,0,0,3,2,1,0,4,0,0,0,19,4,0,0,4,0,0,29,0,0,0,68,2070,4,21,22,16,9,6,12
30,0,125,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,44,0,0,0,805,3,0,4,0,10,0,0,0,18,3,0,0,4,1,0,0,1,0,0,0,13,2,0,0,7,1,0,39,1,0,0,65,2070,7,17,14,15,8,7,15
30,0,104,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,835,4,0,6,0,9,0,0,0,10,1,0,0,5,1,0,0,4,0,0,0,17,2,0,0,6,0,0,27,0,0,0,69,2070,5,18,16,13,11,7,15
30,0,88,0,1,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,47,0,0,0,834,3,0,11,0,8,0,0,0,8,1,0,0,2,1,0,0,6,0,0,0,16,0,0,0,6,0,0,31,1,0,0,68,2070,6,18,15,11,10,10,12
30,0,92,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,49,0,0,0,835,4,0,10,0,11,0,0,0,11,1,0,0,2,3,0,0,7,0,0,0,20,1,0,0,6,0,0,34,0,0,0,71,2070,4,20,20,15,14,5,17
30,0,98,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,46,0,0,0,834,3,0,4,0,9,0,0,0,7,1,0,0,0,2,0,0,4,1,0,0,20,1,0,0,7,0,0,34,0,0,0,69,2070,5,24,15,15,10,5,15
30,0,103,0,2,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,49,0,0,0,825,4,0,5,0,11,0,0,0,7,2,0,0,6,1,0,0,4,0,0,0,8,3,0,0,5,0,0,38,0,0,0,71,2070,7,15,15,11,12,6,18
30,0,102,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,45,0,0,0,828,3,0,9,0,11,0,0,0,9,0,0,0,6,3,0,0,4,3,0,0,10,0,0,0,8,0,0,30,0,0,0,71,2070,6,19,16,12,13,7,17
30,0,94,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,48,0,0,0,814,4,0,11,0,10,0,0,0,11,1,0,0,6,2,0,0,11,1,0,0,14,2,0,0,2,0,0,33,0,0,0,71,2070,5,27,15,16,12,6,15
30,0,101,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,821,3,0,5,0,12,0,0,0,11,3,0,0,3,0,0,0,7,0,0,0,13,1,0,0,2,0,0,38,0,0,0,70,2070,4,21,17,14,9,8,11
30,2,96,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,46,0,0,0,836,3,0,8,0,9,0,0,0,9,1,0,0,4,0,0,0,5,2,0,0,17,2,0,0,3,0,0,37,0,0,0,70,2070,5,19,17,13,8,7,16
30,1,102,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,47,0,0,0,832,6,0,6,0,10,0,0,0,11,0,0,0,5,2,0,0,5,0,0,0,13,1,0,0,3,1,0,37,0,0,0,70,2070,6,17,18,14,7,5,16
30,1,115,0,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,47,0,0,0,827,6,0,5,0,10,0,0,0,9,0,0,0,2,0,0,0,3,0,0,0,17,2,0,0,4,0,0,32,0,0,0,69,2070,5,17,16,17,13,7,13
