C-C,H-C,H-H,O-C,O-H,O-O
38,111,9,164,464,138
38,112,9,164,465,139
38,112,9,164,465,139
38,111,10,164,465,139
38,110,10,164,465,139
39,110,10,163,467,139
39,108,10,164,467,139
39,109,10,164,467,138
39,110,10,165,467,138
39,108,9,165,468,138
39,108,10,166,468,135
38,107,10,166,468,136
39,107,10,166,468,136
39,107,10,165,467,136
38,108,10,166,467,135
39,105,10,168,467,135
39,105,10,168,469,135
38,105,10,168,468,134
38,105,10,169,468,134
39,106,10,170,468,134
39,105,10,170,468,134
39,103,10,170,470,134
39,104,10,170,469,133
39,104,10,169,469,133
39,102,10,170,469,133
39,102,10,170,469,131
38,102,10,170,472,133
39,103,10,170,472,133
37,102,10,169,472,133
39,103,10,169,471,133
39,101,10,169,472,133
38,102,10,169,471,133
38,102,10,169,471,132
38,101,10,169,471,133
38,103,10,169,471,133
38,102,10,169,471,133
38,100,10,170,472,133
38,101,10,170,471,133
38,102,10,170,471,132
38,101,10,170,471,132
38,100,9,170,472,133
38,102,9,170,472,132
38,101,9,170,472,131
38,99,9,170,472,131
36,100,9,170,471,131
37,102,9,170,472,131
37,101,9,171,473,130
37,101,9,171,473,129
37,101,9,171,473,129
36,101,9,172,473,128
36,102,9,172,473,130
36,101,9,172,473,130
36,102,8,172,474,128
36,102,8,172,474,129
35,102,8,172,474,130
35,101,8,173,475,130
34,101,7,173,477,129
35,98,7,173,477,127
35,100,7,173,477,129
35,102,7,172,476,128
35,100,7,172,478,129
35,100,7,173,478,128
35,98,7,173,478,128
35,101,7,173,478,126
35,99,7,173,480,127
35,98,7,173,479,126
35,97,7,173,481,126
34,96,7,173,481,126
34,98,7,173,482,126
34,96,7,173,483,125
34,96,7,173,483,125
34,97,7,173,482,125
34,97,7,173,483,125
34,92,7,173,482,125
34,96,7,173,482,125
34,96,7,173,483,125
34,93,7,173,483,125
34,94,7,173,485,125
34,95,7,173,485,125
33,96,7,174,485,124
34,93,7,173,486,125
34,96,7,174,485,125
34,93,7,174,485,124
34,95,7,175,485,123
34,95,7,175,485,124
34,95,7,176,485,122
34,93,6,176,485,122
34,95,7,175,485,122
34,96,7,175,485,122
34,96,7,175,485,121
34,94,7,175,487,123
34,95,7,175,486,122
33,94,7,175,487,123
33,95,7,174,487,122
33,94,7,176,486,123
33,94,7,176,489,123
33,93,7,176,489,122
33,94,7,176,489,122
33,93,7,176,489,122
33,94,7,177,489,122
33,90,7,177,491,122
33,91,6,177,494,121
33,91,6,177,494,122
33,91,6,177,492,121
33,91,6,177,492,123
32,91,6,177,491,122
32,91,6,178,492,122
32,88,6,178,492,120
32,90,6,178,492,120
32,90,6,177,492,121
32,89,5,178,493,121
32,88,6,178,495,120
32,88,6,178,495,119
32,89,6,179,494,119
32,88,6,180,493,118
32,91,6,180,494,119
32,88,6,180,495,119
