C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,49,103,43,5,9,591,3,525,172
0,46,107,42,5,7,593,2,525,173
0,47,104,45,4,7,593,2,523,175
0,47,105,45,3,7,593,2,523,175
0,49,101,46,4,7,593,3,522,175
0,45,107,44,4,4,596,3,523,174
0,46,107,45,2,8,592,2,521,177
0,48,104,44,4,6,594,2,522,176
0,47,109,40,4,8,592,3,521,176
0,48,104,44,4,3,597,2,525,173
0,47,106,43,4,3,597,2,525,173
0,51,102,43,4,8,592,3,526,171
0,47,105,44,4,4,596,3,523,174
0,48,105,44,3,5,595,2,523,175
0,48,106,42,4,6,594,2,522,176
0,47,108,43,2,3,597,2,521,177
0,50,104,42,4,10,590,2,522,176
0,48,107,43,2,6,594,2,521,177
0,50,106,40,4,7,593,1,521,178
0,51,106,38,5,10,590,1,521,178
0,49,107,40,4,6,594,2,521,177
0,50,105,41,4,4,596,1,521,178
0,52,105,39,4,7,593,2,520,178
0,52,103,41,4,4,596,1,519,180
0,53,102,41,4,5,595,1,519,180
0,55,101,41,3,9,591,1,519,180
0,51,105,40,4,3,597,2,518,180
0,56,102,38,4,10,590,2,518,180
0,55,103,38,4,9,591,2,520,178
0,53,107,37,3,8,592,2,520,178
0,52,107,37,4,5,595,2,520,178
0,52,106,39,3,6,594,3,519,178
0,50,109,38,3,3,597,3,519,178
0,54,107,36,3,9,591,3,517,180
1,52,107,37,3,9,591,3,516,181
0,51,111,35,3,7,593,3,515,182
0,53,109,35,3,8,592,3,514,183
0,53,108,37,2,7,593,3,513,184
0,55,106,37,2,9,591,5,513,182
0,55,106,37,2,9,591,3,513,184
0,52,111,36,1,10,590,3,512,185
0,54,108,36,2,9,591,1,513,186
0,52,108,38,2,7,593,1,513,186
0,55,107,36,2,11,589,1,512,187
0,53,109,36,2,9,591,2,512,186
0,54,108,36,2,8,592,1,510,189
0,55,108,35,2,8,592,3,508,189
0,57,106,36,1,11,589,2,506,192
0,55,107,36,2,7,593,2,506,192
0,58,105,35,2,9,591,2,504,194
0,56,106,36,2,7,593,2,507,191
0,57,105,37,1,8,592,2,506,192
0,56,107,35,2,6,594,3,505,192
0,55,109,34,2,5,595,2,504,194
0,58,107,33,2,10,590,2,505,193
0,56,108,34,2,7,593,2,505,193
0,56,108,34,2,7,593,1,505,194
