Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
262,0,44,330,2869,357,235,161,205,278,74,114,85,5,4027,0,757,1787
263,0,45,332,2865,358,240,152,203,284,73,118,82,7,4025,0,757,1787
264,0,45,331,2870,354,232,163,199,287,71,119,81,6,4026,0,752,1792
265,0,45,331,2865,359,237,153,211,273,83,114,81,6,4026,0,756,1788
266,0,45,329,2870,356,240,150,205,281,79,116,81,7,4025,0,751,1793
267,0,45,329,2868,358,234,163,194,288,74,120,79,8,4024,0,752,1792
268,0,45,331,2861,363,236,156,195,293,71,125,76,6,4026,0,754,1790
269,0,45,329,2865,361,237,159,198,284,73,115,86,6,4026,0,754,1790
270,0,45,329,2859,367,234,157,209,282,71,116,83,6,4026,0,759,1785
271,0,45,331,2857,367,239,158,197,286,69,120,83,5,4027,0,757,1787
272,0,45,332,2857,366,236,163,198,277,81,117,80,4,4028,0,759,1785
273,0,46,332,2860,362,239,154,209,280,69,115,86,6,4026,0,759,1785
274,0,46,332,2861,361,239,147,208,283,91,100,84,5,4027,0,758,1786
275,0,47,332,2853,368,233,165,204,277,76,107,90,5,4027,0,758,1786
276,0,47,330,2858,365,237,157,201,285,84,101,87,5,4027,0,755,1789
277,0,47,329,2856,368,236,151,208,283,85,108,81,6,4026,0,755,1789
278,0,47,328,2858,367,238,155,202,285,81,105,86,4,4028,0,752,1792
279,0,48,328,2855,369,239,153,203,284,77,109,87,6,4026,0,755,1789
280,0,48,326,2856,370,239,157,193,290,77,110,86,5,4027,0,754,1790
281,0,48,325,2859,368,232,166,205,273,77,118,81,3,4029,0,757,1787
282,0,47,327,2862,364,237,154,202,293,67,119,80,3,4029,0,756,1788
283,0,48,325,2863,364,235,161,198,286,78,106,88,6,4026,0,758,1786
284,0,48,323,2866,363,237,154,206,283,76,111,85,6,4026,0,752,1792
285,0,48,326,2858,368,231,164,203,282,78,111,83,6,4026,0,755,1789
286,0,49,325,2859,367,238,149,213,284,73,111,84,6,4026,0,756,1788
287,0,49,324,2865,362,236,152,213,278,76,118,79,4,4028,0,758,1786
288,0,49,322,2862,367,236,155,214,270,86,108,83,4,4028,0,756,1788
289,0,49,320,2864,367,239,160,193,287,74,119,80,8,4024,0,753,1791
290,0,49,324,2863,364,239,151,204,282,84,113,79,5,4027,0,751,1793
291,0,49,324,2863,364,236,158,194,290,79,109,86,6,4026,0,747,1797
292,0,49,323,2868,360,237,157,207,280,76,105,90,5,4027,0,750,1794
293,0,49,322,2866,363,238,150,215,275,80,110,84,7,4025,0,745,1799
294,0,49,322,2868,361,235,160,203,282,74,121,77,7,4025,0,749,1795
295,0,49,320,2872,359,235,159,208,272,85,108,85,8,4024,0,752,1792
296,0,49,319,2870,362,237,163,206,272,72,110,92,7,4025,0,745,1799
